Date (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Station Name (station_name),Latitude (latitude),Longitude (longitude),Basin (basin),Sub Basin (sub_basin),Source (source),Depth to Water Level (currentlevel),Level Difference (level_diff)
"2013-08-24","Rajasthan","8","Churu","96","DADREWA","28.66944","75.23333","Area Of Inland Drainage In Rajasthan","Area Of Inland Drainage In Rajasthan","CGWB","12.27","8.86"
"2014-11-04","Maharashtra","27","Nagpur","484","Chargaon (Punarwasi)","21.26667","78.75833","Godavari","Weinganga","CGWB","4.65","3.1"
"2015-11-04","Karnataka","29","Kalaburagi","538","Kadganchi1","17.45","76.66667","Krishna","Bhima Lower","CGWB","2.75","-1.8"
"2017-01-04","Madhya Pradesh","23","Chhatarpur","398","Gaurihar","25.26833","80.19444","Ganga","Yamuna Lower","CGWB","8.58","2.07"
"2014-08-24","Maharashtra","27","Thane","497","Kasa","19.91667","72.95","West Flowing Rivers From Tapi To Tadri","Bhatsol And Others","CGWB","1.48","-1.48"
"2022-01-10","Tamil Nadu","33","Tiruppur","634","Dharapuram2","10.73889","77.52917","Cauvery","Cauvery Middle","CGWB","2.4","0.15"
"2020-11-29","Odisha","21","Sambalpur","371","Rairakhol(rampu","21.06667","84.33333","Mahanadi","Mahanadi Lower","CGWB","3.17","-1.6"
"2020-11-29","Karnataka","29","Hassan","539","Kuppe","12.65833","76.1875","Cauvery","Cauvery Upper","CGWB","7.12","1.75"
"2017-11-04","Delhi","7","South","83","Humayun Tomb","28.595","77.25083","Ganga","Yamuna Upper","CGWB","7.91","-0.16"
"2018-01-04","Karnataka","29","Yadgir","635","Kurkunda","16.58333","77.1","Krishna","Bhima Lower","CGWB","7.91","-0.2"
"2017-11-04","Bihar","10","Gaya","196","Ram Kund","24.81167","85.01556","Ganga","Gandak And Others","CGWB","4.9","0.01"
"2013-08-24","Gujarat","24","Vadodara","461","Rasulpur","22.6","73.23333","Mahi","Mahi Lower","CGWB","1.3","-3.62"
"2013-05-14","Tamil Nadu","33","Kancheepuram","574","Tirumazhisai","13.0625","80.0625","East Flowing Rivers Between Pennar And Kanyakumari","Palar And Other","CGWB","6.0","1.38"
"2015-01-04","Madhya Pradesh","23","Chhindwara","399","Saonri(D)","21.96306","78.77556","Godavari","Weinganga","CGWB","59.24","5.0"
"2018-05-23","Maharashtra","27","Bhandara","471","Madgi","20.95","79.8","Godavari","Weinganga","CGWB","9.2","3.1"
"2016-08-26","Kerala","32","Thrissur","566","Akalad","10.63722","75.98806","West Flowing Rivers From Tadri To Kanyakumari","Varrar And Others","CGWB","3.11","-1.06"
"2013-11-04","Gujarat","24","Vadodara","461","Vega","22.15944","73.4125","Mahi","Mahi Lower","CGWB","3.15","0.65"
"2018-01-09","Maharashtra","27","Kolhapur","480","Nitawade","16.23333","74.05","Krishna","Krishna Upper","CGWB","9.3","8.3"
"2014-01-06","Kerala","32","Thrissur","566","Athani","10.61667","76.21667","West Flowing Rivers From Tadri To Kanyakumari","Varrar And Others","CGWB","7.95","1.6"
"2017-05-14","Maharashtra","27","Amravati","468","Chandur Bazar","21.23333","77.73333","Tapi","Tapi Upper","CGWB","23.95","4.1"
"2020-08-24","Himachal Pradesh","2","Kangra","18","Takipur","32.03333","76.25","Indus (Up To Border)","Beas","CGWB","1.5","-1.24"
"2017-01-04","Karnataka","29","Dakshina Kannada","534","Nidle","12.95417","75.38333","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","11.6","0.38"
"2020-11-29","Odisha","21","Anugul","344","Bamur","21.01167","84.48611","Mahanadi","Mahanadi Lower","CGWB","1.51","0.95"
"2014-08-24","Maharashtra","27","Yavatmal","500","Digras","20.1","77.71667","Godavari","Wardha","CGWB","3.85","0.05"
"2018-05-04","Tamil Nadu","33","Thiruvarur","590","Needamangalam","10.74583","79.47083","Cauvery","Cauvery Lower","CGWB","4.14","-0.89"
"2014-04-20","Tamil Nadu","33","Cuddalore","570","Sethiatope2","11.46667","79.55","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","45.53","23.16"
"2018-05-19","Maharashtra","27","Latur","481","Deoni","18.26667","77.08333","Godavari","Manjra","CGWB","10.83","9.23"
"2013-08-24","Telangana","36","Nalgonda","514","S.Atmakur","17.225","79.69167","Krishna","Krishna Lower","CGWB","9.35","-1.05"
"2018-11-02","Assam","18","Dhemaji","284","Bhagaban charali","27.5","94.54444","Brahamaputra","Brahmaputra Upper","CGWB","7.01","4.51"
"2015-08-24","Madhya Pradesh","23","Anuppur","390","Jhiriyatola","23.21444","82.10417","Ganga","Sone","CGWB","5.7","-2.85"
"2014-05-14","Maharashtra","27","Nandurbar","486","Sundarde-1","21.38861","74.18806","Tapi","Tapi Middle","CGWB","6.9","-1.4"
"2018-05-19","Andhra Pradesh","28","East Godavari","505","Kesavaram-DW13","16.93389","81.8825","Godavari","Godavari Lower","CGWB","2.9","-0.02"
"2013-01-04","Uttar Pradesh","9","Deoria","137","Pathardewa(Narayanpur Kothi)","26.58333","84.0","Ganga","Ghaghara","CGWB","3.67","0.52"
"2019-01-09","Jammu And Kashmir","1","Rajouri","12","Siot","33.11667","74.38056","Indus (Up To Border)","Chenab","CGWB","3.9","-0.6"
"2016-11-04","Rajasthan","8","Banswara","88","Chand Ji Ka Guda","23.66667","74.3375","Mahi","Mahi Upper","CGWB","0.56","-0.09"
"2015-05-14","Karnataka","29","Mandya","544","HaleBudanur","12.54444","76.95833","Cauvery","Cauvery Middle","CGWB","4.85","-0.62"
"2021-01-09","West Bengal","19","Jalpaiguri","314","Moynaguri","26.6125","88.78056","Brahamaputra","Brahmaputra Lower","CGWB","4.45","1.77"
"2019-11-29","Uttar Pradesh","9","Fatehpur","142","Naubasta","25.87083","81.20833","Ganga","Upstream Of Gomti Confluece To Muzaffarnagar","CGWB","10.62","-0.46"
"2019-11-09","Gujarat","24","Amreli","439","Kodinar","20.8","70.69167","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Bhadar And Other West Flowing Rivers","CGWB","2.66","-4.87"
"2015-05-14","Karnataka","29","Ramanagara","631","Helagalli","12.36639","77.41056","Cauvery","Cauvery Middle","CGWB","6.46","0.08"
"2020-04-21","Rajasthan","8","Alwar","87","RAMGARH1","27.58333","76.80972","Ganga","Yamuna Middle","CGWB","16.72","-13.09"
"2017-06-21","Tamil Nadu","33","Sivaganga","585","Singapuneri","10.18417","78.42361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","8.1","-1.0"
"2016-11-04","Karnataka","29","Bidar","529","Changler","17.625","77.41667","Godavari","Manjra","CGWB","11.78","2.28"
